Dataset,Agent,PSNR,SSIM,LPIPS,BPP
kodak,JPEG_Q30,27.79390837182668,0.8159966232609358,0.10189017653465271,0.92333984375
kodak,JPEG_Q50,29.138866078004963,0.8590625878662893,0.055469948798418045,1.2635498046875
kodak,JPEG_Q70,30.62267506397032,0.8935597637749465,0.03264196962118149,1.7135009765625
kodak,JPEG_Q90,34.322535386158044,0.9470452173333723,0.011275971308350563,3.2076416015625
kodak,PNG,inf,1.0,0.0,16.472900390625
kodak,WebP,30.50445985737894,0.8921928497147324,0.05746036767959595,1.150634765625
kodak,AE,10.749481040613952,0.23114737342286773,0.7869262099266052,64.0
kodak,VAE,10.486008023648951,0.204120365486513,0.7631388902664185,256.0
kodak,NIC_Q1,24.83689848137991,0.6228703038180877,0.41418883204460144,1.09765625
kodak,NIC_Q3,27.067896422422816,0.7641969453246563,0.24789229035377502,2.85546875
kodak,NIC_Q5,29.94614149153842,0.8774862860072409,0.07545159012079239,6.82421875
kodak,ScaleHyperprior_q1,25.310973805506233,0.6430441491650274,0.41332414746284485,0.15771484375
kodak,ScaleHyperprior_q3,28.342504890057562,0.8063514752551884,0.20396465063095093,0.44287109375
kodak,ScaleHyperprior_q5,31.760925227625233,0.9107810561153094,0.04636476933956146,1.0078125
kodak,GAN,24.112605876334015,0.6017262608809243,0.49646836519241333,6.0
kodak,SD_FP16,23.57902273168257,0.597452791639522,0.07902689278125763,2.0
kodak,SD_INT8,19.680550640511154,0.4351332903825436,0.22430956363677979,0.5
kodak,JPEG_Q30,30.216070270161985,0.86522316390647,0.07580026239156723,0.7354736328125
kodak,JPEG_Q50,31.88565355586075,0.8998476903789974,0.043748512864112854,1.0010986328125
kodak,JPEG_Q70,33.62036340542624,0.9259814914804947,0.02311617322266102,1.338134765625
kodak,JPEG_Q90,37.41133662764053,0.9619853788383214,0.006654628552496433,2.45751953125
kodak,PNG,inf,1.0,0.0,13.815673828125
kodak,WebP,32.90716359611716,0.9035812308800161,0.04945705085992813,0.774169921875
kodak,AE,14.032798437886456,0.4151024768553156,0.7139010429382324,64.0
kodak,VAE,13.72654602725801,0.2962167252371733,0.7136669754981995,256.0
kodak,NIC_Q1,25.93883629370422,0.7178135683470437,0.32540807127952576,0.96875
kodak,NIC_Q3,28.554305191705666,0.8036902884067144,0.19366727769374847,2.2109375
kodak,NIC_Q5,32.16165462537257,0.8967518760722742,0.07684238255023956,5.00390625
kodak,ScaleHyperprior_q1,27.02869982609802,0.7340102261262055,0.2973417043685913,0.130859375
kodak,ScaleHyperprior_q3,30.35528919268515,0.8255592924133753,0.1644982099533081,0.31103515625
kodak,ScaleHyperprior_q5,33.977403993516745,0.9167514797724171,0.0693611428141594,0.6630859375
kodak,GAN,23.468548316736374,0.6821375719858264,0.43886256217956543,6.0
kodak,SD_FP16,25.88505460896068,0.7575894530108237,0.047292016446590424,2.0
kodak,SD_INT8,18.20923101930964,0.5596128895551963,0.21749281883239746,0.5
kodak,JPEG_Q30,30.861515099585706,0.9015069799644734,0.04673006385564804,0.61572265625
